,ESTE,NORTE
V1,212925,1188225
V2,212775,1187775
V3,209550,1187800
V4,205775,1187175
V5,204175,1184750
V6,204150,1182050
V7,203600,1181525
V8,203550,1180850
V9,204975,1178850
V10,205825,1178625
V11,206275,1176425
V12,206200,1169025
V13,205000,1168050
V14,204600,1167250
V15,205300,1167000
V16,204350,1166125
V17,204350,1165000
V18,202850,1165025
V19,202775,1155625
V20,198050,1152850
V21,195675,1156800
V22,202075,1175975
V23,202325,1176350
V24,202325,1176775
V25,202750,1176900
V26,199400,1186400
V27,204150,1191300
V28,205925,1192600
V29,208700,1192775
